"Country or Area","Year","Value"
"Croatia","2015","1566.60228680808"
"Croatia","2014","1446.28038846718"
"Croatia","2013","1478.69184286701"
"Croatia","2012","2000.5088425624"
"Croatia","2011","2205.21738018921"
"Croatia","2010","2155.01997041261"
"Croatia","2009","1938.70803142929"
"Croatia","2008","2502.23744642538"
"Croatia","2007","2233.37418322549"
"Croatia","2006","2189.33252543228"
"Croatia","2005","2176.92086395178"
"Croatia","2004","2216.04488660142"
"Croatia","2003","2007.46252186168"
"Croatia","2002","2089.91831451281"
"Croatia","2001","2162.51411036273"
"Croatia","2000","2195.23440509886"
"Croatia","1999","2090.31314728828"
"Croatia","1998","1882.09696267429"
"Croatia","1997","2194.98968556467"
"Croatia","1996","2022.07373699845"
"Croatia","1995","2021.79001310353"
"Croatia","1994","2091.9626243104"
"Croatia","1993","2050.63149076338"
"Croatia","1992","2405.49097485099"
"Croatia","1991","2394.10947885311"
"Croatia","1990","2529.77601034721"
"Cyprus","2021","173.528254316209"
"Cyprus","2020","172.695058817959"
"Cyprus","2019","167.519866251891"
"Cyprus","2018","161.277831534922"
"Cyprus","2017","159.481398824379"
"Cyprus","2016","153.444719823499"
"Cyprus","2015","151.237860773713"
"Cyprus","2014","145.376403625654"
"Cyprus","2013","147.973068690715"
"Cyprus","2012","162.630921769977"
"Cyprus","2011","166.837260668254"
"Cyprus","2010","169.328073929851"
"Cyprus","2009","160.059225679643"
"Cyprus","2008","163.105096192505"
"Cyprus","2007","170.551371549379"
"Cyprus","2006","173.595630952351"
"Cyprus","2005","170.837638184826"
"Cyprus","2004","185.036244468777"
"Cyprus","2003","216.720190939152"
"Cyprus","2002","218.494307397528"
"Cyprus","2001","212.616414395052"
"Cyprus","2000","191.946758258983"
"Cyprus","1999","191.192592965614"
"Cyprus","1998","189.731736690852"
"Cyprus","1997","180.106896493821"
"Cyprus","1996","183.592703352559"
"Cyprus","1995","188.266291934251"
"Cyprus","1994","172.925338460125"
"Cyprus","1993","174.849663129923"
"Cyprus","1992","164.661003259067"
"Cyprus","1991","148.425922699951"
"Cyprus","1990","147.689083993672"
"Czechia","2021","4683.99413535025"
"Czechia","2020","4472.12578212769"
"Czechia","2019","4722.24655409447"
"Czechia","2018","4785.06433214221"
"Czechia","2017","5078.49749003807"
"Czechia","2016","5299.19943002022"
"Czechia","2015","5151.19816597897"
"Czechia","2014","4794.38851293243"
"Czechia","2013","4653.45173581835"
"Czechia","2012","4877.30577471796"
"Czechia","2011","4971.36534712235"
"Czechia","2010","4399.11421374226"
"Czechia","2009","4478.48403946662"
"Czechia","2008","5221.33588290841"
"Czechia","2007","5183.1746029845"
"Czechia","2006","5134.1162084509"
"Czechia","2005","5236.09613604939"
"Czechia","2004","5357.68329461514"
"Czechia","2003","4772.29411781348"
"Czechia","2002","5170.44634596223"
"Czechia","2001","5555.82573198844"
"Czechia","2000","5372.59218373026"
"Czechia","1999","4967.55054070374"
"Czechia","1998","5143.84387066617"
"Czechia","1997","5221.27371548114"
"Czechia","1996","5217.96451956079"
"Czechia","1995","5414.41556464737"
"Czechia","1994","5137.36759437253"
"Czechia","1993","5182.96196874927"
"Czechia","1992","5766.46540283235"
"Czechia","1991","6459.90206953439"
"Czechia","1990","7624.43882227969"
"Denmark","2021","5192.77059070174"
"Denmark","2020","5464.92020740543"
"Denmark","2019","5405.12856697226"
"Denmark","2018","5249.00620540872"
"Denmark","2017","5472.38525675594"
"Denmark","2016","5415.01446654876"
"Denmark","2015","5278.19716221515"
"Denmark","2014","5303.36039819117"
"Denmark","2013","5193.68285350955"
"Denmark","2012","5188.96566868223"
"Denmark","2011","5287.54111120484"
"Denmark","2010","5248.35890561142"
"Denmark","2009","5381.93484915347"
"Denmark","2008","5548.13104263401"
"Denmark","2007","5489.42879918729"
"Denmark","2006","5336.22132769056"
"Denmark","2005","5438.89293567327"
"Denmark","2004","5947.8750993403"
"Denmark","2003","6214.6407827888"
"Denmark","2002","6308.52037070744"
"Denmark","2001","6375.75151752988"
"Denmark","2000","6572.24099847555"
"Denmark","1999","6582.81078451679"
"Denmark","1998","6677.65845992349"
"Denmark","1997","6660.00932487577"
"Denmark","1996","6634.89206980548"
"Denmark","1995","7002.8636581421"
"Denmark","1994","7039.81835507737"
"Denmark","1993","7083.44115282303"
"Denmark","1992","7366.95726531236"
"Denmark","1991","7611.70682686774"
"Denmark","1990","7844.75608460103"
"Estonia","2021","849.034474692602"
"Estonia","2020","840.743194977215"
"Estonia","2019","835.036526406518"
"Estonia","2018","772.948440201181"
"Estonia","2017","783.134252453444"
"Estonia","2016","753.951283933771"
"Estonia","2015","778.259239938123"
"Estonia","2014","744.779014470884"
"Estonia","2013","720.513670515912"
"Estonia","2012","721.095892730161"
"Estonia","2011","675.829960721265"
"Estonia","2010","665.309796628703"
"Estonia","2009","647.043395425027"
"Estonia","2008","692.114046511807"
"Estonia","2007","642.363614431187"
"Estonia","2006","592.531989570574"
"Estonia","2005","602.22707128881"
"Estonia","2004","589.188724866415"
"Estonia","2003","558.677954528049"
"Estonia","2002","525.041459170477"
"Estonia","2001","549.826329202747"
"Estonia","2000","570.380299874881"
"Estonia","1999","541.288347391533"
"Estonia","1998","618.243572568625"
"Estonia","1997","594.153916806863"
"Estonia","1996","585.308952391051"
"Estonia","1995","623.630313562442"
"Estonia","1994","698.042058608309"
"Estonia","1993","767.688219363599"
"Estonia","1992","980.443283479028"
"Estonia","1991","1177.51260869813"
"Estonia","1990","1204.37845726794"
"European Union","2021","174381.185358152"
"European Union","2020","174621.025579402"
"European Union","2019","175858.096294469"
"European Union","2018","179127.653014078"
"European Union","2017","181516.359724244"
"European Union","2016","178481.077411798"
"European Union","2015","178364.216213509"
"European Union","2014","178715.806269645"
"European Union","2013","176416.509590884"
"European Union","2012","176787.645426877"
"European Union","2011","178390.747972964"
"European Union","2010","181840.661927256"
"European Union","2009","191937.143853908"
"European Union","2008","203757.761552374"
"European Union","2007","212811.892464997"
"European Union","2006","212020.448325058"
"European Union","2005","220976.424746199"
"European Union","2004","225390.853796671"
"European Union","2003","221719.334322073"
"European Union","2002","224827.093016211"
"European Union","2001","233530.391552645"
"European Union","2000","233624.258867613"
"European Union","1999","236025.731298261"
"European Union","1998","246786.726056028"
"European Union","1997","266458.81304338"
"European Union","1996","269614.734159586"
"European Union","1995","264491.088334286"
"European Union","1994","262078.41590527"
"European Union","1993","259873.907778405"
"European Union","1992","264856.761510674"
"European Union","1991","272644.93652222"
"European Union","1990","288825.079710348"
"Finland","2021","4171.04845595172"
"Finland","2020","4156.04541852832"
"Finland","2019","4239.59519440686"
"Finland","2018","4083.02335986502"
"Finland","2017","4108.25543374261"
"Finland","2016","4114.1921942299"
"Finland","2015","4137.49200417312"
"Finland","2014","4094.82962356973"
"Finland","2013","4044.12271091624"
"Finland","2012","4020.1363824546"
"Finland","2011","4029.48680694452"
"Finland","2010","4135.7278053955"
"Finland","2009","4498.01842702659"
"Finland","2008","5302.87200230216"
"Finland","2007","5160.52770833617"
"Finland","2006","5098.94466546435"
"Finland","2005","5249.57851459853"
"Finland","2004","5184.78513423025"
"Finland","2003","5105.99970768522"
"Finland","2002","4986.72387069402"
"Finland","2001","4948.37684087509"
"Finland","2000","5039.29029830671"
"Finland","1999","4966.7658812191"
"Finland","1998","5033.780223634"
"Finland","1997","5178.67897354861"
"Finland","1996","5161.55183546376"
"Finland","1995","5117.19949686717"
"Finland","1994","5095.78997138462"
"Finland","1993","4996.00706150941"
"Finland","1992","4850.84372252467"
"Finland","1991","5218.29595372183"
"Finland","1990","5507.64836034323"
"France","2021","26031.4045758756"
"France","2020","26049.2300742659"
"France","2019","27207.4375197256"
"France","2018","28118.8978501154"
"France","2017","29171.1176709235"
"France","2016","28059.7590394734"
"France","2015","28758.5112269409"
"France","2014","29022.728933024"
"France","2013","28019.0628867465"
"France","2012","28542.2918781401"
"France","2011","28451.1552621599"
"France","2010","28971.124636354"
"France","2009","31571.0703548452"
"France","2008","33089.7225337441"
"France","2007","33229.1573657131"
"France","2006","33613.3043370371"
